transaction_id,customer_id,timestamp,amount,currency,payment_method,provider,status,failure_reason,retry_count,customer_type,customer_lifetime_value,previous_failures,is_recoverable,ground_truth_action,ground_truth_priority
TXN_000001,CUST_08680,2026-06-28 00:00:04,2832.58,INR,NET_BANKING,Provider_A,SUCCESS,NONE,0,NEW,9215.49,0,NO,NO_ACTION,NONE
TXN_000002,CUST_07990,2026-06-28 00:00:35,3402.3,INR,CREDIT_CARD,Provider_B,SUCCESS,NONE,0,REGULAR,57469.27,2,NO,NO_ACTION,NONE
TXN_000003,CUST_01565,2026-06-28 00:01:54,2055.22,INR,UPI,Provider_C,SUCCESS,NONE,0,REGULAR,37150.98,0,NO,NO_ACTION,NONE
TXN_000004,CUST_03105,2026-06-28 00:02:30,3708.77,INR,CREDIT_CARD,Provider_A,SUCCESS,NONE,0,REGULAR,63429.86,1,NO,NO_ACTION,NONE
TXN_000005,CUST_20017,2026-06-28 00:03:20,4091.97,INR,DEBIT_CARD,Provider_A,SUCCESS,NONE,0,REGULAR,245278.72,1,NO,NO_ACTION,NONE
TXN_000006,CUST_11511,2026-06-28 00:04:02,1605.68,INR,DEBIT_CARD,Provider_B,SUCCESS,NONE,0,NEW,9790.32,0,NO,NO_ACTION,NONE
TXN_000007,CUST_18799,2026-06-28 00:04:13,22416.7,INR,CREDIT_CARD,Provider_A,SUCCESS,NONE,0,HIGH_VALUE,2640382.98,0,NO,NO_ACTION,NONE
TXN_000008,CUST_20489,2026-06-28 00:04:53,4171.09,INR,UPI,Provider_B,SUCCESS,NONE,0,REGULAR,317354.86,1,NO,NO_ACTION,NONE
TXN_000009,CUST_19881,2026-06-28 00:04:56,15186.6,INR,DEBIT_CARD,Provider_D,SUCCESS,NONE,0,HIGH_VALUE,1774923.26,0,NO,NO_ACTION,NONE
TXN_000010,CUST_24530,2026-06-28 00:06:05,29975.32,INR,CREDIT_CARD,Provider_B,SUCCESS,NONE,0,HIGH_VALUE,2651749.56,2,NO,NO_ACTION,NONE
TXN_000011,CUST_06543,2026-06-28 00:06:15,12200.35,INR,UPI,Provider_D,SUCCESS,NONE,0,HIGH_VALUE,1076190.21,3,NO,NO_ACTION,NONE
TXN_000012,CUST_01824,2026-06-28 00:06:30,5050.87,INR,UPI,Provider_A,SUCCESS,NONE,0,REGULAR,223606.01,2,NO,NO_ACTION,NONE
TXN_000013,CUST_13151,2026-06-28 00:08:20,350.88,INR,UPI,Provider_D,SUCCESS,NONE,0,REGULAR,72813.66,0,NO,NO_ACTION,NONE
TXN_000014,CUST_24078,2026-06-28 00:08:30,977.13,INR,CREDIT_CARD,Provider_C,SUCCESS,NONE,0,REGULAR,74708.32,0,NO,NO_ACTION,NONE
TXN_000015,CUST_05118,2026-06-28 00:09:07,2786.15,INR,UPI,Provider_A,SUCCESS,NONE,0,REGULAR,108695.15,0,NO,NO_ACTION,NONE
TXN_000016,CUST_13688,2026-06-28 00:10:45,6227.88,INR,CREDIT_CARD,Provider_A,SUCCESS,NONE,0,HIGH_VALUE,4872031.69,3,NO,NO_ACTION,NONE
TXN_000017,CUST_10363,2026-06-28 00:13:11,11633.89,INR,UPI,Provider_A,SUCCESS,NONE,0,HIGH_VALUE,3649731.52,0,NO,NO_ACTION,NONE
TXN_000018,CUST_15690,2026-06-28 00:13:17,22113.73,INR,UPI,Provider_B,SUCCESS,NONE,0,HIGH_VALUE,1391191.24,1,NO,NO_ACTION,NONE
TXN_000019,CUST_11012,2026-06-28 00:13:50,1038.52,INR,UPI,Provider_A,SUCCESS,NONE,0,REGULAR,143142.78,0,NO,NO_ACTION,NONE
TXN_000020,CUST_24713,2026-06-28 00:14:41,2238.61,INR,NET_BANKING,Provider_A,SUCCESS,NONE,0,REGULAR,137941.51,0,NO,NO_ACTION,NONE
TXN_000021,CUST_19527,2026-06-28 00:15:08,5043.38,INR,NET_BANKING,Provider_A,SUCCESS,NONE,0,REGULAR,295034.43,0,NO,NO_ACTION,NONE
TXN_000022,CUST_19374,2026-06-28 00:17:24,5528.88,INR,UPI,Provider_A,SUCCESS,NONE,0,REGULAR,400174.02,0,NO,NO_ACTION,NONE
TXN_000023,CUST_09274,2026-06-28 00:17:38,2259.93,INR,NET_BANKING,Provider_D,FAILED,SUSPICIOUS_TRANSACTION,0,REGULAR,57349.2,0,NO,HUMAN_REVIEW,CRITICAL
TXN_000024,CUST_19196,2026-06-28 00:18:07,32903.15,INR,UPI,Provider_C,SUCCESS,NONE,0,HIGH_VALUE,10040864.53,0,NO,NO_ACTION,NONE
TXN_000025,CUST_13133,2026-06-28 00:19:02,2229.02,INR,NET_BANKING,Provider_B,SUCCESS,NONE,0,REGULAR,159515.01,0,NO,NO_ACTION,NONE
TXN_000026,CUST_21468,2026-06-28 00:19:06,3157.61,INR,UPI,Provider_A,SUCCESS,NONE,0,REGULAR,129353.37,0,NO,NO_ACTION,NONE
TXN_000027,CUST_19599,2026-06-28 00:20:01,2728.19,INR,CREDIT_CARD,Provider_C,SUCCESS,NONE,0,REGULAR,70168.21,0,NO,NO_ACTION,NONE
TXN_000028,CUST_16840,2026-06-28 00:20:09,16754.36,INR,UPI,Provider_C,SUCCESS,NONE,0,HIGH_VALUE,6443433.02,0,NO,NO_ACTION,NONE
TXN_000029,CUST_06087,2026-06-28 00:20:19,3862.32,INR,NET_BANKING,Provider_D,SUCCESS,NONE,0,REGULAR,256874.55,0,NO,NO_ACTION,NONE
TXN_000030,CUST_14435,2026-06-28 00:20:49,4817.22,INR,UPI,Provider_B,SUCCESS,NONE,0,HIGH_VALUE,1508518.08,2,NO,NO_ACTION,NONE
TXN_000031,CUST_22341,2026-06-28 00:20:59,5227.79,INR,UPI,Provider_A,SUCCESS,NONE,0,REGULAR,263708.21,0,NO,NO_ACTION,NONE
TXN_000032,CUST_15697,2026-06-28 00:21:02,12033.25,INR,UPI,Provider_D,SUCCESS,NONE,0,HIGH_VALUE,2523847.16,1,NO,NO_ACTION,NONE
TXN_000033,CUST_20831,2026-06-28 00:22:18,17247.36,INR,CREDIT_CARD,Provider_D,FAILED,CARD_EXPIRED,0,HIGH_VALUE,9134578.83,1,POSSIBLY,PAYMENT_METHOD_UPDATE,HIGH
TXN_000034,CUST_13431,2026-06-28 00:22:55,1670.24,INR,UPI,Provider_A,SUCCESS,NONE,0,NEW,7697.96,0,NO,NO_ACTION,NONE
TXN_000035,CUST_21094,2026-06-28 00:23:12,2502.98,INR,CREDIT_CARD,Provider_C,SUCCESS,NONE,0,REGULAR,130165.44,0,NO,NO_ACTION,NONE
TXN_000036,CUST_14667,2026-06-28 00:23:56,1540.05,INR,NET_BANKING,Provider_C,SUCCESS,NONE,0,NEW,3807.7,0,NO,NO_ACTION,NONE
TXN_000037,CUST_21313,2026-06-28 00:23:56,21094.77,INR,WALLET,Provider_A,SUCCESS,NONE,0,HIGH_VALUE,5509611.3,0,NO,NO_ACTION,NONE
TXN_000038,CUST_11909,2026-06-28 00:24:07,2691.95,INR,DEBIT_CARD,Provider_B,FAILED,INSUFFICIENT_FUNDS,4,REGULAR,285419.13,0,POSSIBLY,WAIT,LOW
TXN_000039,CUST_16747,2026-06-28 00:25:21,4074.31,INR,CREDIT_CARD,Provider_B,SUCCESS,NONE,0,REGULAR,221611.94,0,NO,NO_ACTION,NONE
TXN_000040,CUST_01428,2026-06-28 00:26:16,10892.18,INR,UPI,Provider_A,SUCCESS,NONE,0,HIGH_VALUE,2295101.94,0,NO,NO_ACTION,NONE
TXN_000041,CUST_11046,2026-06-28 00:27:12,4736.48,INR,CREDIT_CARD,Provider_B,SUCCESS,NONE,0,REGULAR,192919.61,0,NO,NO_ACTION,NONE
TXN_000042,CUST_03505,2026-06-28 00:27:26,8522.87,INR,UPI,Provider_A,SUCCESS,NONE,0,HIGH_VALUE,3568792.2,0,NO,NO_ACTION,NONE
